state_abbr,state_name,fips,year,real_gdp_millions,unemployment_rate,per_capita_personal_income,mortgage_rate_30yr,state_local_govt_tax_revenue
AK,Alaska,02,2016,53463.9,,55536.0,3.6540384615384616,260846.0
AK,Alaska,02,2017,53550.9,,56500.0,3.9898076923076924,263120.0
AK,Alaska,02,2018,52479.6,,58997.0,4.544615384615384,252970.0
AK,Alaska,02,2019,52377.5,,60504.0,3.935769230769231,278823.0
AK,Alaska,02,2020,50901.3,,61853.0,3.111698113207547,255206.0
AK,Alaska,02,2021,51764.0,,65608.0,2.957692307692308,267842.0
AK,Alaska,02,2022,50509.1,,68905.0,5.344038461538461,270644.0
AK,Alaska,02,2023,54183.8,,71309.0,6.806730769230769,292255.0
AK,Alaska,02,2024,55945.7,,75247.0,6.721153846153846,322606.0
AL,Alabama,01,2016,212862.8,5.8,38704.0,3.6540384615384616,
AL,Alabama,01,2017,216615.5,4.508333333333334,39968.0,3.9898076923076924,
AL,Alabama,01,2018,220808.8,3.9250000000000003,41324.0,4.544615384615384,
AL,Alabama,01,2019,225272.8,3.1916666666666664,42998.0,3.935769230769231,
AL,Alabama,01,2020,223025.5,6.408333333333334,45843.0,3.111698113207547,
AL,Alabama,01,2021,233951.1,3.35,50495.0,2.957692307692308,
AL,Alabama,01,2022,239846.6,2.4916666666666667,51660.0,5.344038461538461,
AL,Alabama,01,2023,248313.7,2.4666666666666663,54112.0,6.806730769230769,
AL,Alabama,01,2024,255629.4,3.058333333333333,56684.0,6.721153846153846,
AR,Arkansas,05,2016,123034.9,3.975,,3.6540384615384616,4590072.0
AR,Arkansas,05,2017,123882.6,3.7416666666666667,,3.9898076923076924,4701868.0
AR,Arkansas,05,2018,126371.2,3.65,,4.544615384615384,4834983.0
AR,Arkansas,05,2019,127220.0,3.4916666666666667,,3.935769230769231,4920468.0
AR,Arkansas,05,2020,128395.6,6.158333333333334,,3.111698113207547,5137583.0
AR,Arkansas,05,2021,137634.8,4.033333333333333,,2.957692307692308,5752828.0
AR,Arkansas,05,2022,138672.0,3.1750000000000003,,5.344038461538461,6216131.0
AR,Arkansas,05,2023,141968.0,3.141666666666667,,6.806730769230769,6668614.0
AR,Arkansas,05,2024,147389.9,3.466666666666667,,6.721153846153846,6815000.0
AZ,Arizona,04,2016,319008.4,5.5,41173.0,3.6540384615384616,8964846.0
AZ,Arizona,04,2017,333099.0,4.958333333333333,43255.0,3.9898076923076924,9214293.0
AZ,Arizona,04,2018,346398.3,4.808333333333334,45297.0,4.544615384615384,9708694.0
AZ,Arizona,04,2019,359576.7,4.816666666666666,47718.0,3.935769230769231,10443788.0
AZ,Arizona,04,2020,366588.0,7.825,52038.0,3.111698113207547,10746188.0
AZ,Arizona,04,2021,396457.5,5.041666666666667,56963.0,2.957692307692308,11249699.0
AZ,Arizona,04,2022,413798.8,3.716666666666667,58873.0,5.344038461538461,13380245.0
AZ,Arizona,04,2023,427644.0,3.6666666666666665,62194.0,6.806730769230769,14604772.0
AZ,Arizona,04,2024,446968.2,3.6,64456.0,6.721153846153846,15342937.0
CA,California,06,2016,2623711.7,5.516666666666667,55862.0,3.6540384615384616,51602180.0
CA,California,06,2017,2740550.3,4.833333333333333,58214.0,3.9898076923076924,51360200.0
CA,California,06,2018,2850970.3,4.258333333333334,60984.0,4.544615384615384,57345108.0
CA,California,06,2019,2969609.0,4.091666666666667,64219.0,3.935769230769231,59632877.0
CA,California,06,2020,2930654.6,10.166666666666666,70065.0,3.111698113207547,63554860.0
CA,California,06,2021,3151112.5,7.3500000000000005,76887.0,2.957692307692308,64367044.0
CA,California,06,2022,3147211.4,4.291666666666667,76741.0,5.344038461538461,71677492.0
CA,California,06,2023,3204016.4,4.7250000000000005,80771.0,6.806730769230769,72490025.0
CA,California,06,2024,3306928.6,5.316666666666666,85518.0,6.721153846153846,74065328.0
CO,Colorado,08,2016,337685.2,3.1166666666666667,51312.0,3.6540384615384616,4989402.0
CO,Colorado,08,2017,350209.1,2.6166666666666667,54176.0,3.9898076923076924,5277083.0
CO,Colorado,08,2018,365204.5,3.025,57798.0,4.544615384615384,5712243.0
CO,Colorado,08,2019,383725.6,2.6666666666666665,61278.0,3.935769230769231,5988535.0
CO,Colorado,08,2020,380544.0,6.791666666666667,64671.0,3.111698113207547,6011981.0
CO,Colorado,08,2021,406309.2,5.508333333333333,71676.0,2.957692307692308,6994813.0
CO,Colorado,08,2022,422576.1,3.1,76544.0,5.344038461538461,7856911.0
CO,Colorado,08,2023,440225.2,3.3000000000000003,79746.0,6.806730769230769,7986279.0
CO,Colorado,08,2024,448838.5,4.25,82705.0,6.721153846153846,8136841.0
CT,Connecticut,09,2016,268196.2,4.875,,3.6540384615384616,6518905.0
CT,Connecticut,09,2017,273875.1,4.408333333333333,,3.9898076923076924,6991466.0
CT,Connecticut,09,2018,274582.8,3.9,,4.544615384615384,7556076.0
CT,Connecticut,09,2019,275225.4,3.5833333333333335,,3.935769230769231,7787888.0
CT,Connecticut,09,2020,261737.1,8.008333333333333,,3.111698113207547,7468451.0
CT,Connecticut,09,2021,270779.8,6.458333333333333,,2.957692307692308,8148270.0
CT,Connecticut,09,2022,279348.5,4.033333333333333,,5.344038461538461,8327840.0
CT,Connecticut,09,2023,283228.5,3.1999999999999997,,6.806730769230769,8813018.0
CT,Connecticut,09,2024,286160.1,3.1750000000000003,,6.721153846153846,9177916.0
DC,District of Columbia,11,2016,132217.8,6.233333333333333,77500.0,3.6540384615384616,
DC,District of Columbia,11,2017,134298.8,6.108333333333333,79567.0,3.9898076923076924,
DC,District of Columbia,11,2018,138056.8,5.716666666666666,82272.0,4.544615384615384,
DC,District of Columbia,11,2019,138909.7,5.516666666666667,83675.0,3.935769230769231,
DC,District of Columbia,11,2020,137828.9,7.966666666666666,90691.0,3.111698113207547,
DC,District of Columbia,11,2021,143338.7,6.833333333333333,97764.0,2.957692307692308,
DC,District of Columbia,11,2022,143050.8,4.7,100153.0,5.344038461538461,
DC,District of Columbia,11,2023,143179.2,4.8500000000000005,105518.0,6.806730769230769,
DC,District of Columbia,11,2024,145088.0,5.241666666666666,108233.0,6.721153846153846,
DE,Delaware,10,2016,71941.4,4.533333333333333,48186.0,3.6540384615384616,539193.0
DE,Delaware,10,2017,69555.6,4.3999999999999995,49997.0,3.9898076923076924,556490.0
DE,Delaware,10,2018,70856.4,3.6916666666666664,52670.0,4.544615384615384,585645.0
DE,Delaware,10,2019,74627.8,3.5500000000000003,53778.0,3.935769230769231,602601.0
DE,Delaware,10,2020,72728.8,7.5249999999999995,55497.0,3.111698113207547,585504.0
DE,Delaware,10,2021,75205.5,5.441666666666666,59619.0,2.957692307692308,587923.0
DE,Delaware,10,2022,81111.8,4.175,63890.0,5.344038461538461,644552.0
DE,Delaware,10,2023,82090.9,3.8333333333333335,66557.0,6.806730769230769,646541.0
DE,Delaware,10,2024,85350.5,3.6916666666666664,69282.0,6.721153846153846,658914.0
FL,Florida,12,2016,978989.7,4.908333333333334,,3.6540384615384616,31296426.0
FL,Florida,12,2017,1014866.9,4.283333333333333,,3.9898076923076924,34089929.0
FL,Florida,12,2018,1050433.8,3.641666666666667,,4.544615384615384,38456615.0
FL,Florida,12,2019,1084913.9,3.2416666666666667,,3.935769230769231,36492076.0
FL,Florida,12,2020,1072481.6,8.066666666666666,,3.111698113207547,35167486.0
FL,Florida,12,2021,1172655.3,4.716666666666667,,2.957692307692308,38522113.0
FL,Florida,12,2022,1245927.6,3.016666666666667,,5.344038461538461,47015449.0
FL,Florida,12,2023,1309392.2,2.9499999999999997,,6.806730769230769,49680636.0
FL,Florida,12,2024,1352275.1,3.358333333333333,,6.721153846153846,50501721.0
GA,Georgia,13,2016,561718.3,5.45,42742.0,3.6540384615384616,8409384.0
GA,Georgia,13,2017,583543.3,4.758333333333334,44836.0,3.9898076923076924,8809190.0
GA,Georgia,13,2018,600934.7,4.016666666666667,46624.0,4.544615384615384,9132965.0
GA,Georgia,13,2019,620744.9,3.6,48529.0,3.935769230769231,9509465.0
GA,Georgia,13,2020,603202.5,6.55,51460.0,3.111698113207547,9538551.0
GA,Georgia,13,2021,643748.4,3.9416666666666664,56079.0,2.957692307692308,10257930.0
GA,Georgia,13,2022,670107.2,3.1666666666666665,57193.0,5.344038461538461,11405066.0
GA,Georgia,13,2023,679447.2,3.283333333333333,59691.0,6.806730769230769,11397058.0
GA,Georgia,13,2024,697450.9,3.5083333333333333,62393.0,6.721153846153846,12321555.0
HI,Hawaii,15,2016,85670.4,2.908333333333333,48561.0,3.6540384615384616,4315902.0
HI,Hawaii,15,2017,87436.4,2.2333333333333334,50506.0,3.9898076923076924,4365856.0
HI,Hawaii,15,2018,88836.4,2.4,51554.0,4.544615384615384,4732032.0
HI,Hawaii,15,2019,88855.2,2.5083333333333333,53940.0,3.935769230769231,5062134.0
HI,Hawaii,15,2020,79696.8,11.741666666666667,56995.0,3.111698113207547,4923969.0
HI,Hawaii,15,2021,84532.0,5.966666666666666,61051.0,2.957692307692308,4147624.0
HI,Hawaii,15,2022,87491.2,3.2583333333333333,62522.0,5.344038461538461,5647969.0
HI,Hawaii,15,2023,89642.2,2.9250000000000003,65888.0,6.806730769230769,6256481.0
HI,Hawaii,15,2024,91878.0,2.9499999999999997,69520.0,6.721153846153846,6294856.0
IA,Iowa,19,2016,186729.9,3.6,45669.0,3.6540384615384616,4597957.0
IA,Iowa,19,2017,187125.0,3.091666666666667,46767.0,3.9898076923076924,4613085.0
IA,Iowa,19,2018,189245.1,2.5833333333333335,48773.0,4.544615384615384,4687073.0
IA,Iowa,19,2019,188471.4,2.6583333333333337,49674.0,3.935769230769231,4857865.0
IA,Iowa,19,2020,187261.7,5.216666666666667,52621.0,3.111698113207547,4958143.0
IA,Iowa,19,2021,202470.6,3.85,58195.0,2.957692307692308,5522117.0
IA,Iowa,19,2022,202672.5,2.8249999999999997,61515.0,5.344038461538461,5807099.0
IA,Iowa,19,2023,201359.8,2.9333333333333336,62557.0,6.806730769230769,6243044.0
IA,Iowa,19,2024,206438.9,3.033333333333333,63573.0,6.721153846153846,6241217.0
ID,Idaho,16,2016,70442.5,3.7083333333333335,39653.0,3.6540384615384616,2120946.0
ID,Idaho,16,2017,72935.1,3.1833333333333336,41197.0,3.9898076923076924,2231756.0
ID,Idaho,16,2018,77652.1,2.875,43254.0,4.544615384615384,2383727.0
ID,Idaho,16,2019,81144.3,2.8833333333333333,45880.0,3.935769230769231,2520264.0
ID,Idaho,16,2020,82711.6,5.55,49607.0,3.111698113207547,2714828.0
ID,Idaho,16,2021,88955.2,3.5749999999999997,55408.0,2.957692307692308,3180226.0
ID,Idaho,16,2022,92792.5,2.875,56984.0,5.344038461538461,3594947.0
ID,Idaho,16,2023,95286.5,3.1999999999999997,59192.0,6.806730769230769,3741521.0
ID,Idaho,16,2024,99567.3,3.658333333333333,61836.0,6.721153846153846,3758409.0
IL,Illinois,17,2016,826404.7,5.883333333333333,51347.0,3.6540384615384616,18524265.0
IL,Illinois,17,2017,832826.8,4.958333333333333,53056.0,3.9898076923076924,18629894.0
IL,Illinois,17,2018,851517.2,4.391666666666667,56077.0,4.544615384615384,18699777.0
IL,Illinois,17,2019,858018.3,3.975,57738.0,3.935769230769231,19534290.0
IL,Illinois,17,2020,810693.1,9.333333333333334,61542.0,3.111698113207547,20650013.0
IL,Illinois,17,2021,857114.6,6.1000000000000005,66612.0,2.957692307692308,23486335.0
IL,Illinois,17,2022,872907.5,4.583333333333333,68352.0,5.344038461538461,25814374.0
IL,Illinois,17,2023,884965.3,4.483333333333333,71716.0,6.806730769230769,26911046.0
IL,Illinois,17,2024,899125.9,4.991666666666666,74197.0,6.721153846153846,27667838.0
IN,Indiana,18,2016,348439.2,,43143.0,3.6540384615384616,10688193.0
IN,Indiana,18,2017,357535.8,,44568.0,3.9898076923076924,11013349.0
IN,Indiana,18,2018,368762.9,,46555.0,4.544615384615384,12119558.0
IN,Indiana,18,2019,370507.2,,48270.0,3.935769230769231,12580882.0
IN,Indiana,18,2020,359963.6,,51736.0,3.111698113207547,12506535.0
IN,Indiana,18,2021,386872.8,,57254.0,2.957692307692308,13847723.0
